day_number,floor,process,assigned_trade,planned_remaining,is_valid,task_status,initial_production_rate,actual_efficiency,remain_work,is_rework,today_workload,predecessor_processes,pre_remain_work,trade_available,prerequisites_completed,can_start
0,5,Pipes in the wall,Plumbing,175,FALSE,pending,37,null,175,null,null,Partition phase 1,818,1,FALSE,FALSE
0,1,Wall tiling,Tiling,271,FALSE,pending,27,null,271,null,null,Partition phase 3,216,1,FALSE,FALSE
0,2,Wall tiling,Tiling,271,FALSE,pending,27,null,271,null,null,Partition phase 3,216,1,FALSE,FALSE
0,3,Wall tiling,Tiling,271,FALSE,pending,27,null,271,null,null,Partition phase 3,216,1,FALSE,FALSE
0,4,Wall tiling,Tiling,271,FALSE,pending,27,null,271,null,null,Partition phase 3,216,1,FALSE,FALSE
0,5,Wall tiling,Tiling,271,FALSE,pending,27,null,271,null,null,Partition phase 3,216,1,FALSE,FALSE
1,1,Electric conduits in the floor,Electricity,74,FALSE,pending,51,null,74,null,0,Gravel base layer,122,1,FALSE,FALSE
1,2,Electric conduits in the floor,Electricity,74,FALSE,pending,51,null,74,null,0,Gravel base layer,154,1,FALSE,FALSE
1,3,Electric conduits in the floor,Electricity,74,FALSE,pending,51,null,74,null,0,Gravel base layer,154,1,FALSE,FALSE
1,4,Electric conduits in the floor,Electricity,74,FALSE,pending,51,null,74,null,0,Gravel base layer,154,1,FALSE,FALSE
1,5,Electric conduits in the floor,Electricity,74,FALSE,pending,51,null,74,null,0,Gravel base layer,154,1,FALSE,FALSE
1,1,Electric conduits in the wall,Electricity,164,FALSE,pending,41,null,164,null,0,Partition phase 2,19,1,FALSE,FALSE
1,2,Electric conduits in the wall,Electricity,164,FALSE,pending,41,null,164,null,0,Partition phase 2,19,1,FALSE,FALSE
1,3,Electric conduits in the wall,Electricity,164,FALSE,pending,41,null,164,null,0,Partition phase 2,19,1,FALSE,FALSE
1,4,Electric conduits in the wall,Electricity,164,FALSE,pending,41,null,164,null,0,Partition phase 2,19,1,FALSE,FALSE
1,5,Electric conduits in the wall,Electricity,164,FALSE,pending,41,null,164,null,0,Partition phase 2,19,1,FALSE,FALSE
1,1,Floor tiling,Tiling,661,FALSE,pending,62,null,661,null,0,"Pipes in the floor, Electric conduits in the floor","74, 103",1,FALSE,FALSE
1,2,Floor tiling,Tiling,661,FALSE,pending,62,null,661,null,0,"Pipes in the floor, Electric conduits in the floor","74, 103",1,FALSE,FALSE
1,3,Floor tiling,Tiling,661,FALSE,pending,62,null,661,null,0,"Pipes in the floor, Electric conduits in the floor","74, 103",1,FALSE,FALSE
1,4,Floor tiling,Tiling,661,FALSE,pending,62,null,661,null,0,"Pipes in the floor, Electric conduits in the floor","74, 103",1,FALSE,FALSE
1,5,Floor tiling,Tiling,661,FALSE,pending,62,null,661,null,0,"Pipes in the floor, Electric conduits in the floor","74, 103",1,FALSE,FALSE
1,1,Gravel base layer,Gravel,154,FALSE,in_progress,34,32,122,FALSE,32,null,null,0,TRUE,FALSE
1,2,Gravel base layer,Gravel,154,FALSE,pending,34,null,154,null,0,null,null,0,TRUE,FALSE
1,3,Gravel base layer,Gravel,154,FALSE,pending,34,null,154,null,0,null,null,0,TRUE,FALSE
1,4,Gravel base layer,Gravel,154,FALSE,pending,34,null,154,null,0,null,null,0,TRUE,FALSE
1,5,Gravel base layer,Gravel,154,FALSE,pending,34,null,154,null,0,null,null,0,TRUE,FALSE
1,1,Partition phase 1,Partition,818,FALSE,in_progress,55,58,760,FALSE,58,null,null,0,TRUE,FALSE
