day_number,process,floor,trade,is_invalid,is_rework,daily_work_done,efficiency,start_day,complete_day,recorded_at
196,Wall tiling,4,Tiling,TRUE,TRUE,0,0.00%,187,null,2025-03-25 11:54:28.699895+00
197,Partition phase 3,5,Partition,TRUE,TRUE,0,0.00%,190,null,2025-03-25 11:54:28.699895+00
197,Wall tiling,4,Tiling,FALSE,TRUE,29,107.41%,187,null,2025-03-25 11:54:28.699895+00
198,Partition phase 3,5,Partition,FALSE,TRUE,31,96.88%,190,null,2025-03-25 11:54:28.699895+00
198,Wall tiling,4,Tiling,FALSE,TRUE,26,96.30%,187,null,2025-03-25 11:54:28.699895+00
199,Partition phase 3,5,Partition,TRUE,TRUE,0,0.00%,190,null,2025-03-25 11:54:28.699895+00
199,Wall tiling,4,Tiling,TRUE,TRUE,0,0.00%,187,null,2025-03-25 11:54:28.699895+00
200,Partition phase 3,5,Partition,TRUE,TRUE,0,0.00%,190,null,2025-03-25 11:54:28.699895+00
200,Wall tiling,4,Tiling,FALSE,TRUE,28,103.70%,187,null,2025-03-25 11:54:28.699895+00
201,Partition phase 3,5,Partition,TRUE,TRUE,0,0.00%,190,null,2025-03-25 11:54:28.699895+00
201,Wall tiling,4,Tiling,FALSE,TRUE,25,92.59%,187,null,2025-03-25 11:54:28.699895+00
202,Partition phase 3,5,Partition,FALSE,TRUE,35,109.38%,190,null,2025-03-25 11:54:28.699895+00
202,Wall tiling,4,Tiling,TRUE,TRUE,0,0.00%,187,null,2025-03-25 11:54:28.699895+00
203,Partition phase 3,5,Partition,FALSE,TRUE,30,93.75%,190,null,2025-03-25 11:54:28.699895+00
203,Wall tiling,4,Tiling,FALSE,TRUE,26,96.30%,187,null,2025-03-25 11:54:28.699895+00
204,Partition phase 3,5,Partition,FALSE,TRUE,32,100.00%,190,null,2025-03-25 11:54:28.699895+00
204,Wall tiling,4,Tiling,FALSE,TRUE,26,96.30%,187,null,2025-03-25 11:54:28.699895+00
205,Partition phase 3,5,Partition,FALSE,TRUE,31,96.88%,190,205,2025-03-25 11:54:28.699895+00
205,Wall tiling,4,Tiling,FALSE,TRUE,27,100.00%,187,null,2025-03-25 11:54:28.699895+00
206,Wall tiling,4,Tiling,FALSE,TRUE,25,92.59%,187,206,2025-03-25 11:54:28.699895+00
207,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
208,Wall tiling,5,Tiling,FALSE,TRUE,25,92.59%,206,null,2025-03-25 11:54:28.699895+00
209,Wall tiling,5,Tiling,FALSE,TRUE,29,107.41%,206,null,2025-03-25 11:54:28.699895+00
210,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
211,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
212,Wall tiling,5,Tiling,FALSE,TRUE,29,107.41%,206,null,2025-03-25 11:54:28.699895+00
213,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
214,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
215,Wall tiling,5,Tiling,FALSE,TRUE,29,107.41%,206,null,2025-03-25 11:54:28.699895+00
216,Wall tiling,5,Tiling,FALSE,TRUE,27,100.00%,206,null,2025-03-25 11:54:28.699895+00
217,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
218,Wall tiling,5,Tiling,FALSE,TRUE,29,107.41%,206,null,2025-03-25 11:54:28.699895+00
219,Wall tiling,5,Tiling,FALSE,TRUE,25,92.59%,206,null,2025-03-25 11:54:28.699895+00
220,Wall tiling,5,Tiling,FALSE,TRUE,28,103.70%,206,null,2025-03-25 11:54:28.699895+00
221,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
222,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
223,Wall tiling,5,Tiling,FALSE,TRUE,25,92.59%,206,null,2025-03-25 11:54:28.699895+00
224,Wall tiling,5,Tiling,FALSE,TRUE,28,103.70%,206,null,2025-03-25 11:54:28.699895+00
225,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
226,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
227,Wall tiling,5,Tiling,TRUE,TRUE,0,0.00%,206,null,2025-03-25 11:54:28.699895+00
228,Wall tiling,5,Tiling,FALSE,TRUE,27,100.00%,206,228,2025-03-25 11:54:28.699895+00
