day_number,process,floor,trade,is_invalid,is_rework,daily_work_done,efficiency,start_day,complete_day,recorded_at
122,Wall tiling,1,Tiling,FALSE,TRUE,25,92.59%,105,null,2025-03-25 11:54:28.699895+00
123,Partition phase 3,2,Partition,TRUE,TRUE,0,0.00%,121,null,2025-03-25 11:54:28.699895+00
123,Pipes in the wall,4,Plumbing,FALSE,TRUE,37,100.00%,121,null,2025-03-25 11:54:28.699895+00
123,Wall tiling,1,Tiling,FALSE,TRUE,29,107.41%,105,null,2025-03-25 11:54:28.699895+00
124,Partition phase 3,2,Partition,FALSE,TRUE,29,90.63%,121,null,2025-03-25 11:54:28.699895+00
124,Pipes in the wall,4,Plumbing,FALSE,TRUE,37,100.00%,121,null,2025-03-25 11:54:28.699895+00
124,Wall tiling,1,Tiling,FALSE,TRUE,26,96.30%,105,124,2025-03-25 11:54:28.699895+00
125,Floor tiling,5,Tiling,FALSE,TRUE,62,100.00%,124,null,2025-03-25 11:54:28.699895+00
125,Partition phase 3,2,Partition,FALSE,TRUE,29,90.63%,121,null,2025-03-25 11:54:28.699895+00
125,Pipes in the wall,4,Plumbing,FALSE,TRUE,37,100.00%,121,null,2025-03-25 11:54:28.699895+00
126,Floor tiling,5,Tiling,FALSE,TRUE,61,98.39%,124,null,2025-03-25 11:54:28.699895+00
126,Partition phase 3,2,Partition,TRUE,TRUE,0,0.00%,121,null,2025-03-25 11:54:28.699895+00
126,Pipes in the wall,4,Plumbing,FALSE,TRUE,34,91.89%,121,null,2025-03-25 11:54:28.699895+00
127,Floor tiling,5,Tiling,FALSE,TRUE,58,93.55%,124,null,2025-03-25 11:54:28.699895+00
127,Partition phase 3,2,Partition,TRUE,TRUE,0,0.00%,121,null,2025-03-25 11:54:28.699895+00
127,Pipes in the wall,4,Plumbing,TRUE,TRUE,0,0.00%,121,null,2025-03-25 11:54:28.699895+00
128,Floor tiling,5,Tiling,FALSE,TRUE,67,108.06%,124,null,2025-03-25 11:54:28.699895+00
128,Partition phase 3,2,Partition,FALSE,TRUE,30,93.75%,121,null,2025-03-25 11:54:28.699895+00
128,Pipes in the wall,4,Plumbing,TRUE,TRUE,0,0.00%,121,null,2025-03-25 11:54:28.699895+00
129,Floor tiling,5,Tiling,TRUE,TRUE,0,0.00%,124,null,2025-03-25 11:54:28.699895+00
129,Partition phase 3,2,Partition,FALSE,TRUE,30,93.75%,121,null,2025-03-25 11:54:28.699895+00
129,Pipes in the wall,4,Plumbing,TRUE,TRUE,0,0.00%,121,null,2025-03-25 11:54:28.699895+00
130,Floor tiling,5,Tiling,TRUE,TRUE,0,0.00%,124,null,2025-03-25 11:54:28.699895+00
130,Partition phase 3,2,Partition,FALSE,TRUE,31,96.88%,121,null,2025-03-25 11:54:28.699895+00
130,Pipes in the wall,4,Plumbing,FALSE,TRUE,38,102.70%,121,130,2025-03-25 11:54:28.699895+00
131,Floor tiling,5,Tiling,FALSE,TRUE,68,109.68%,124,null,2025-03-25 11:54:28.699895+00
131,Partition phase 3,2,Partition,FALSE,TRUE,32,100.00%,121,null,2025-03-25 11:54:28.699895+00
132,Floor tiling,5,Tiling,TRUE,TRUE,0,0.00%,124,null,2025-03-25 11:54:28.699895+00
132,Partition phase 3,2,Partition,FALSE,TRUE,31,96.88%,121,132,2025-03-25 11:54:28.699895+00
133,Floor tiling,5,Tiling,TRUE,TRUE,0,0.00%,124,null,2025-03-25 11:54:28.699895+00
133,Partition phase 2,3,Partition,FALSE,TRUE,48,94.12%,132,133,2025-03-25 11:54:28.699895+00
134,Electric conduits in the wall,3,Electricity,FALSE,TRUE,38,92.68%,133,null,2025-03-25 11:54:28.699895+00
134,Floor tiling,5,Tiling,FALSE,TRUE,62,100.00%,124,null,2025-03-25 11:54:28.699895+00
134,Partition phase 2,4,Partition,FALSE,TRUE,51,100.00%,133,134,2025-03-25 11:54:28.699895+00
135,Electric conduits in the wall,3,Electricity,FALSE,TRUE,44,107.32%,133,null,2025-03-25 11:54:28.699895+00
135,Floor tiling,5,Tiling,FALSE,TRUE,61,98.39%,124,null,2025-03-25 11:54:28.699895+00
135,Partition phase 1,5,Partition,FALSE,TRUE,60,109.09%,134,null,2025-03-25 11:54:28.699895+00
136,Electric conduits in the wall,3,Electricity,TRUE,TRUE,0,0.00%,133,null,2025-03-25 11:54:28.699895+00
136,Floor tiling,5,Tiling,TRUE,TRUE,0,0.00%,124,null,2025-03-25 11:54:28.699895+00
136,Partition phase 1,5,Partition,TRUE,TRUE,0,0.00%,134,null,2025-03-25 11:54:28.699895+00
137,Electric conduits in the wall,3,Electricity,TRUE,TRUE,0,0.00%,133,null,2025-03-25 11:54:28.699895+00
137,Floor tiling,5,Tiling,FALSE,TRUE,61,98.39%,124,null,2025-03-25 11:54:28.699895+00
137,Partition phase 1,5,Partition,FALSE,TRUE,55,100.00%,134,null,2025-03-25 11:54:28.699895+00
138,Electric conduits in the wall,3,Electricity,TRUE,TRUE,0,0.00%,133,null,2025-03-25 11:54:28.699895+00
138,Floor tiling,5,Tiling,FALSE,TRUE,67,108.06%,124,null,2025-03-25 11:54:28.699895+00
138,Partition phase 1,5,Partition,FALSE,TRUE,55,100.00%,134,null,2025-03-25 11:54:28.699895+00
139,Electric conduits in the wall,3,Electricity,FALSE,TRUE,38,92.68%,133,null,2025-03-25 11:54:28.699895+00
139,Floor tiling,5,Tiling,FALSE,TRUE,68,109.68%,124,null,2025-03-25 11:54:28.699895+00
139,Partition phase 1,5,Partition,TRUE,TRUE,0,0.00%,134,null,2025-03-25 11:54:28.699895+00
