floor,process,trade,remaining_quantity,productivity,task_status,trade_status,day_number
1,Electric conduits in the floor,Electricity,0,51,completed,available,10
1,Electric conduits in the wall,Electricity,180,41,pending,available,10
2,Gravel base layer,Gravel,102,34,in_progress,busy,8
1,Gravel base layer,Gravel,0,34,completed,busy,10
1,Floor tiling,Tiling,658,62,in_progress,busy,9
1,Partition phase 2,Partition,20,51,pending,busy,10
1,Partition phase 3,Partition,200,32,pending,busy,10
1,Pipes in the floor,Plumbing,0,69,completed,available,10
1,Pipes in the wall,Plumbing,190,37,pending,available,10
1,Wall tiling,Tiling,290,27,pending,busy,10
1,Electric conduits in the floor,Electricity,0,51,completed,busy,11
1,Electric conduits in the wall,Electricity,180,41,pending,busy,11
1,Partition phase 1,Partition,310,55,in_progress,busy,9
1,Gravel base layer,Gravel,0,34,completed,busy,11
2,Gravel base layer,Gravel,68,34,in_progress,busy,9
1,Partition phase 2,Partition,20,51,pending,busy,11
1,Partition phase 3,Partition,200,32,pending,busy,11
1,Pipes in the floor,Plumbing,0,69,completed,busy,11
1,Pipes in the wall,Plumbing,190,37,pending,busy,11
1,Wall tiling,Tiling,290,27,pending,busy,11
1,Electric conduits in the floor,Electricity,0,51,completed,busy,12
1,Electric conduits in the wall,Electricity,180,41,pending,busy,12
1,Floor tiling,Tiling,596,62,in_progress,busy,10
1,Gravel base layer,Gravel,0,34,completed,busy,12
1,Partition phase 1,Partition,255,55,in_progress,busy,10
1,Partition phase 2,Partition,20,51,pending,busy,12
1,Partition phase 3,Partition,200,32,pending,busy,12
1,Pipes in the floor,Plumbing,0,69,completed,busy,12
1,Pipes in the wall,Plumbing,190,37,pending,busy,12
1,Wall tiling,Tiling,290,27,pending,busy,12
1,Electric conduits in the floor,Electricity,0,51,completed,available,13
1,Electric conduits in the wall,Electricity,180,41,pending,available,13
2,Gravel base layer,Gravel,34,34,in_progress,busy,10
1,Gravel base layer,Gravel,0,34,completed,busy,13
1,Floor tiling,Tiling,534,62,in_progress,busy,11
1,Partition phase 2,Partition,20,51,pending,busy,13
1,Partition phase 3,Partition,200,32,pending,busy,13
1,Pipes in the floor,Plumbing,0,69,completed,available,13
1,Pipes in the wall,Plumbing,190,37,pending,available,13
1,Wall tiling,Tiling,290,27,pending,busy,13
1,Electric conduits in the floor,Electricity,0,51,completed,available,14
1,Electric conduits in the wall,Electricity,180,41,pending,available,14
1,Partition phase 1,Partition,200,55,in_progress,busy,11
1,Gravel base layer,Gravel,0,34,completed,busy,14
2,Electric conduits in the floor,Electricity,80,51,in_progress,busy,11
1,Partition phase 2,Partition,20,51,pending,busy,14
1,Partition phase 3,Partition,200,32,pending,busy,14
1,Pipes in the floor,Plumbing,0,69,completed,available,14
1,Pipes in the wall,Plumbing,190,37,pending,available,14
1,Wall tiling,Tiling,290,27,pending,busy,14
1,Electric conduits in the floor,Electricity,0,51,completed,available,15
1,Electric conduits in the wall,Electricity,180,41,pending,available,15
2,Pipes in the floor,Plumbing,100,69,in_progress,busy,11
1,Gravel base layer,Gravel,0,34,completed,busy,15
1,Partition phase 1,Partition,0,55,completed,busy,15
1,Partition phase 2,Partition,20,51,pending,busy,15
1,Partition phase 3,Partition,200,32,pending,busy,15
1,Pipes in the floor,Plumbing,0,69,completed,busy,15
3,Gravel base layer,Gravel,170,34,in_progress,busy,11
1,Wall tiling,Tiling,290,27,pending,busy,15
1,Electric conduits in the floor,Electricity,0,51,completed,busy,16
1,Electric conduits in the wall,Electricity,180,41,pending,busy,16
1,Floor tiling,Tiling,472,62,in_progress,busy,12
1,Gravel base layer,Gravel,0,34,completed,busy,16
1,Partition phase 1,Partition,0,55,completed,busy,16
1,Partition phase 2,Partition,20,51,pending,busy,16
1,Partition phase 3,Partition,200,32,pending,busy,16
1,Pipes in the floor,Plumbing,0,69,completed,busy,16
1,Partition phase 1,Partition,145,55,in_progress,busy,12
1,Wall tiling,Tiling,290,27,pending,busy,16
1,Electric conduits in the floor,Electricity,0,51,completed,busy,17
1,Electric conduits in the wall,Electricity,180,41,pending,busy,17
2,Electric conduits in the floor,Electricity,29,51,in_progress,busy,12
1,Gravel base layer,Gravel,0,34,completed,busy,17
1,Partition phase 1,Partition,0,55,completed,busy,17
1,Partition phase 2,Partition,20,51,pending,busy,17
1,Partition phase 3,Partition,200,32,pending,busy,17
1,Pipes in the floor,Plumbing,0,69,completed,busy,17
2,Pipes in the floor,Plumbing,31,69,in_progress,busy,12
1,Wall tiling,Tiling,290,27,pending,busy,17
1,Electric conduits in the floor,Electricity,0,51,completed,available,18
1,Electric conduits in the wall,Electricity,180,41,pending,available,18
3,Gravel base layer,Gravel,136,34,in_progress,busy,12
1,Gravel base layer,Gravel,0,34,completed,busy,18
1,Partition phase 1,Partition,0,55,completed,busy,18
1,Partition phase 2,Partition,20,51,pending,busy,18
1,Partition phase 3,Partition,200,32,pending,busy,18
1,Pipes in the floor,Plumbing,0,69,completed,busy,18
1,Floor tiling,Tiling,410,62,in_progress,busy,13
1,Wall tiling,Tiling,290,27,pending,busy,18
1,Electric conduits in the floor,Electricity,0,51,completed,available,19
1,Electric conduits in the wall,Electricity,180,41,pending,available,19
1,Partition phase 1,Partition,90,55,in_progress,busy,13
1,Gravel base layer,Gravel,0,34,completed,busy,19
1,Partition phase 1,Partition,0,55,completed,busy,19
1,Partition phase 2,Partition,20,51,pending,busy,19
1,Partition phase 3,Partition,200,32,pending,busy,19
1,Pipes in the floor,Plumbing,0,69,completed,busy,19
3,Gravel base layer,Gravel,102,34,in_progress,busy,13
1,Wall tiling,Tiling,290,27,pending,busy,19
1,Electric conduits in the floor,Electricity,0,51,completed,available,20
1,Electric conduits in the wall,Electricity,180,41,pending,available,20
1,Floor tiling,Tiling,0,62,completed,busy,20
1,Gravel base layer,Gravel,0,34,completed,busy,20
1,Partition phase 1,Partition,0,55,completed,busy,20
1,Partition phase 2,Partition,20,51,pending,busy,20
1,Partition phase 3,Partition,200,32,pending,busy,20
1,Pipes in the floor,Plumbing,0,69,completed,busy,20
1,Floor tiling,Tiling,348,62,in_progress,busy,14
1,Wall tiling,Tiling,290,27,pending,busy,20
1,Electric conduits in the floor,Electricity,0,51,completed,busy,21
1,Electric conduits in the wall,Electricity,180,41,pending,busy,21
1,Floor tiling,Tiling,0,62,completed,busy,21
1,Gravel base layer,Gravel,0,34,completed,busy,21
1,Partition phase 1,Partition,0,55,completed,busy,21
1,Partition phase 2,Partition,20,51,pending,busy,21
1,Partition phase 3,Partition,200,32,pending,busy,21
1,Pipes in the floor,Plumbing,0,69,completed,busy,21
1,Pipes in the wall,Plumbing,0,37,completed,busy,21
1,Wall tiling,Tiling,290,27,pending,busy,21
1,Electric conduits in the floor,Electricity,0,51,completed,busy,22
1,Electric conduits in the wall,Electricity,180,41,pending,busy,22
1,Floor tiling,Tiling,0,62,completed,busy,22
1,Gravel base layer,Gravel,0,34,completed,busy,22
1,Partition phase 1,Partition,0,55,completed,busy,22
1,Partition phase 2,Partition,20,51,pending,busy,22
1,Partition phase 3,Partition,200,32,pending,busy,22
1,Pipes in the floor,Plumbing,0,69,completed,busy,22
1,Pipes in the wall,Plumbing,0,37,completed,busy,22
1,Wall tiling,Tiling,290,27,pending,busy,22
1,Electric conduits in the floor,Electricity,0,51,completed,available,23
1,Electric conduits in the wall,Electricity,180,41,pending,available,23
1,Floor tiling,Tiling,0,62,completed,busy,23
1,Gravel base layer,Gravel,0,34,completed,busy,23
1,Partition phase 1,Partition,0,55,completed,busy,23
1,Partition phase 2,Partition,20,51,pending,busy,23
1,Partition phase 3,Partition,200,32,pending,busy,23
1,Pipes in the floor,Plumbing,0,69,completed,busy,23
1,Pipes in the wall,Plumbing,0,37,completed,busy,23
1,Wall tiling,Tiling,290,27,pending,busy,23
1,Electric conduits in the floor,Electricity,0,51,completed,available,24
1,Electric conduits in the wall,Electricity,180,41,pending,available,24
1,Floor tiling,Tiling,0,62,completed,busy,24
1,Gravel base layer,Gravel,0,34,completed,busy,24
1,Partition phase 1,Partition,0,55,completed,busy,24
1,Partition phase 2,Partition,20,51,pending,busy,24
1,Partition phase 3,Partition,200,32,pending,busy,24
1,Pipes in the floor,Plumbing,0,69,completed,busy,24
1,Pipes in the wall,Plumbing,0,37,completed,busy,24
1,Wall tiling,Tiling,290,27,pending,busy,24
1,Electric conduits in the floor,Electricity,0,51,completed,available,25
1,Electric conduits in the wall,Electricity,180,41,pending,available,25
1,Floor tiling,Tiling,0,62,completed,busy,25
1,Gravel base layer,Gravel,0,34,completed,busy,25
1,Partition phase 1,Partition,0,55,completed,busy,25
1,Partition phase 2,Partition,20,51,pending,busy,25
1,Partition phase 3,Partition,200,32,pending,busy,25
1,Pipes in the floor,Plumbing,0,69,completed,available,25
1,Pipes in the wall,Plumbing,0,37,completed,available,25
1,Wall tiling,Tiling,290,27,pending,busy,25
1,Electric conduits in the floor,Electricity,0,51,completed,busy,26
1,Electric conduits in the wall,Electricity,180,41,pending,busy,26
1,Floor tiling,Tiling,0,62,completed,busy,26
1,Gravel base layer,Gravel,0,34,completed,available,26
1,Partition phase 1,Partition,0,55,completed,busy,26
1,Partition phase 2,Partition,20,51,pending,busy,26
1,Partition phase 3,Partition,200,32,pending,busy,26
1,Pipes in the floor,Plumbing,0,69,completed,busy,26
1,Pipes in the wall,Plumbing,0,37,completed,busy,26
1,Wall tiling,Tiling,290,27,pending,busy,26
1,Electric conduits in the floor,Electricity,0,51,completed,busy,27
1,Electric conduits in the wall,Electricity,180,41,pending,busy,27
1,Floor tiling,Tiling,0,62,completed,busy,27
1,Gravel base layer,Gravel,0,34,completed,available,27
1,Partition phase 1,Partition,0,55,completed,busy,27
1,Partition phase 2,Partition,20,51,pending,busy,27
1,Partition phase 3,Partition,200,32,pending,busy,27
1,Pipes in the floor,Plumbing,0,69,completed,busy,27
1,Pipes in the wall,Plumbing,0,37,completed,busy,27
1,Wall tiling,Tiling,290,27,pending,busy,27
1,Electric conduits in the floor,Electricity,0,51,completed,available,28
1,Electric conduits in the wall,Electricity,180,41,pending,available,28
1,Floor tiling,Tiling,0,62,completed,busy,28
1,Gravel base layer,Gravel,0,34,completed,available,28
1,Partition phase 1,Partition,0,55,completed,busy,28
1,Partition phase 2,Partition,20,51,pending,busy,28
1,Partition phase 3,Partition,200,32,pending,busy,28
1,Pipes in the floor,Plumbing,0,69,completed,available,28
1,Pipes in the wall,Plumbing,0,37,completed,available,28
1,Wall tiling,Tiling,290,27,pending,busy,28
1,Electric conduits in the floor,Electricity,0,51,completed,available,29
1,Electric conduits in the wall,Electricity,180,41,pending,available,29
1,Floor tiling,Tiling,0,62,completed,busy,29
1,Gravel base layer,Gravel,0,34,completed,available,29
1,Partition phase 1,Partition,0,55,completed,busy,29
1,Partition phase 1,Partition,35,55,in_progress,busy,14
1,Partition phase 3,Partition,200,32,pending,busy,29
1,Pipes in the floor,Plumbing,0,69,completed,busy,29
1,Pipes in the wall,Plumbing,0,37,completed,busy,29
1,Wall tiling,Tiling,290,27,pending,busy,29
1,Electric conduits in the floor,Electricity,0,51,completed,busy,30
3,Gravel base layer,Gravel,68,34,in_progress,busy,14
1,Floor tiling,Tiling,0,62,completed,busy,30
1,Gravel base layer,Gravel,0,34,completed,available,30
1,Partition phase 1,Partition,0,55,completed,busy,30
1,Partition phase 2,Partition,0,51,completed,busy,30
1,Partition phase 3,Partition,200,32,pending,busy,30
1,Pipes in the floor,Plumbing,0,69,completed,busy,30
1,Pipes in the wall,Plumbing,0,37,completed,busy,30
1,Wall tiling,Tiling,290,27,pending,busy,30
1,Electric conduits in the floor,Electricity,0,51,completed,busy,31
1,Floor tiling,Tiling,286,62,in_progress,busy,15
1,Floor tiling,Tiling,0,62,completed,busy,31
1,Gravel base layer,Gravel,0,34,completed,available,31
1,Partition phase 1,Partition,0,55,completed,busy,31
1,Partition phase 2,Partition,0,51,completed,busy,31
1,Partition phase 3,Partition,200,32,pending,busy,31
1,Pipes in the floor,Plumbing,0,69,completed,busy,31
1,Pipes in the wall,Plumbing,0,37,completed,busy,31
1,Wall tiling,Tiling,290,27,pending,busy,31
1,Electric conduits in the floor,Electricity,0,51,completed,busy,32
1,Pipes in the wall,Plumbing,190,37,in_progress,busy,15
1,Floor tiling,Tiling,0,62,completed,busy,32
1,Gravel base layer,Gravel,0,34,completed,available,32
1,Partition phase 1,Partition,0,55,completed,busy,32
1,Partition phase 2,Partition,0,51,completed,busy,32
1,Partition phase 3,Partition,200,32,pending,busy,32
1,Pipes in the floor,Plumbing,0,69,completed,busy,32
1,Pipes in the wall,Plumbing,0,37,completed,busy,32
1,Wall tiling,Tiling,290,27,pending,busy,32
1,Electric conduits in the floor,Electricity,0,51,completed,busy,33
2,Partition phase 1,Partition,750,55,in_progress,busy,15
1,Floor tiling,Tiling,0,62,completed,busy,33
1,Gravel base layer,Gravel,0,34,completed,available,33
1,Partition phase 1,Partition,0,55,completed,busy,33
1,Partition phase 2,Partition,0,51,completed,busy,33
1,Partition phase 3,Partition,200,32,pending,busy,33
1,Pipes in the floor,Plumbing,0,69,completed,busy,33
1,Pipes in the wall,Plumbing,0,37,completed,busy,33
1,Wall tiling,Tiling,290,27,pending,busy,33
1,Electric conduits in the floor,Electricity,0,51,completed,busy,34
3,Gravel base layer,Gravel,34,34,in_progress,busy,15
1,Floor tiling,Tiling,0,62,completed,busy,34
1,Gravel base layer,Gravel,0,34,completed,available,34
1,Partition phase 1,Partition,0,55,completed,busy,34
1,Partition phase 2,Partition,0,51,completed,busy,34
1,Partition phase 3,Partition,200,32,pending,busy,34
1,Pipes in the floor,Plumbing,0,69,completed,busy,34
1,Pipes in the wall,Plumbing,0,37,completed,busy,34
1,Wall tiling,Tiling,290,27,pending,busy,34
1,Electric conduits in the floor,Electricity,0,51,completed,available,35
1,Electric conduits in the wall,Electricity,0,41,completed,available,35
1,Floor tiling,Tiling,0,62,completed,busy,35
1,Gravel base layer,Gravel,0,34,completed,available,35
1,Partition phase 1,Partition,0,55,completed,busy,35
1,Partition phase 2,Partition,0,51,completed,busy,35
1,Partition phase 3,Partition,200,32,pending,busy,35
1,Pipes in the floor,Plumbing,0,69,completed,available,35
1,Pipes in the wall,Plumbing,0,37,completed,available,35
1,Wall tiling,Tiling,290,27,pending,busy,35
1,Electric conduits in the floor,Electricity,0,51,completed,available,36
1,Electric conduits in the wall,Electricity,0,41,completed,available,36
1,Floor tiling,Tiling,0,62,completed,busy,36
1,Gravel base layer,Gravel,0,34,completed,available,36
1,Partition phase 1,Partition,0,55,completed,busy,36
1,Partition phase 2,Partition,0,51,completed,busy,36
1,Partition phase 3,Partition,200,32,pending,busy,36
1,Pipes in the floor,Plumbing,0,69,completed,available,36
1,Pipes in the wall,Plumbing,0,37,completed,available,36
1,Wall tiling,Tiling,290,27,pending,busy,36
1,Electric conduits in the floor,Electricity,0,51,completed,available,37
1,Electric conduits in the wall,Electricity,0,41,completed,available,37
1,Floor tiling,Tiling,0,62,completed,busy,37
1,Gravel base layer,Gravel,0,34,completed,available,37
1,Partition phase 1,Partition,0,55,completed,busy,37
1,Partition phase 2,Partition,0,51,completed,busy,37
1,Partition phase 3,Partition,200,32,pending,busy,37
1,Pipes in the floor,Plumbing,0,69,completed,available,37
1,Pipes in the wall,Plumbing,0,37,completed,available,37
1,Wall tiling,Tiling,290,27,pending,busy,37
1,Electric conduits in the floor,Electricity,0,51,completed,available,38
1,Electric conduits in the wall,Electricity,0,41,completed,available,38
1,Floor tiling,Tiling,0,62,completed,busy,38
1,Gravel base layer,Gravel,0,34,completed,available,38
1,Partition phase 1,Partition,0,55,completed,busy,38
1,Partition phase 2,Partition,0,51,completed,busy,38
1,Partition phase 3,Partition,200,32,pending,busy,38
1,Pipes in the floor,Plumbing,0,69,completed,available,38
1,Pipes in the wall,Plumbing,0,37,completed,available,38
1,Wall tiling,Tiling,290,27,pending,busy,38
1,Electric conduits in the floor,Electricity,0,51,completed,available,39
1,Electric conduits in the wall,Electricity,0,41,completed,available,39
1,Floor tiling,Tiling,0,62,completed,busy,39
1,Gravel base layer,Gravel,0,34,completed,available,39
1,Partition phase 1,Partition,0,55,completed,busy,39
1,Partition phase 2,Partition,0,51,completed,busy,39
1,Partition phase 3,Partition,200,32,pending,busy,39
1,Pipes in the floor,Plumbing,0,69,completed,available,39
1,Pipes in the wall,Plumbing,0,37,completed,available,39
1,Wall tiling,Tiling,290,27,pending,busy,39
1,Electric conduits in the floor,Electricity,0,51,completed,available,40
1,Electric conduits in the wall,Electricity,0,41,completed,available,40
1,Floor tiling,Tiling,0,62,completed,busy,40
1,Gravel base layer,Gravel,0,34,completed,available,40
1,Partition phase 1,Partition,0,55,completed,busy,40
1,Partition phase 2,Partition,0,51,completed,busy,40
1,Partition phase 3,Partition,200,32,pending,busy,40
1,Pipes in the floor,Plumbing,0,69,completed,available,40
1,Pipes in the wall,Plumbing,0,37,completed,available,40
1,Wall tiling,Tiling,290,27,pending,busy,40
1,Electric conduits in the floor,Electricity,0,51,completed,available,41
1,Electric conduits in the wall,Electricity,0,41,completed,available,41
1,Floor tiling,Tiling,0,62,completed,busy,41
1,Gravel base layer,Gravel,0,34,completed,available,41
1,Partition phase 1,Partition,0,55,completed,busy,41
1,Partition phase 2,Partition,0,51,completed,busy,41
1,Partition phase 3,Partition,200,32,pending,busy,41
1,Pipes in the floor,Plumbing,0,69,completed,available,41
1,Pipes in the wall,Plumbing,0,37,completed,available,41
1,Wall tiling,Tiling,290,27,pending,busy,41
1,Electric conduits in the floor,Electricity,0,51,completed,available,42
1,Electric conduits in the wall,Electricity,0,41,completed,available,42
1,Floor tiling,Tiling,0,62,completed,busy,42
1,Gravel base layer,Gravel,0,34,completed,available,42
1,Partition phase 1,Partition,0,55,completed,busy,42
1,Partition phase 2,Partition,0,51,completed,busy,42
1,Partition phase 3,Partition,200,32,pending,busy,42
1,Pipes in the floor,Plumbing,0,69,completed,available,42
1,Pipes in the wall,Plumbing,0,37,completed,available,42
1,Wall tiling,Tiling,290,27,pending,busy,42
1,Electric conduits in the floor,Electricity,0,51,completed,available,43
1,Electric conduits in the wall,Electricity,0,41,completed,available,43
1,Floor tiling,Tiling,0,62,completed,busy,43
1,Gravel base layer,Gravel,0,34,completed,available,43
1,Partition phase 1,Partition,0,55,completed,busy,43
1,Partition phase 2,Partition,0,51,completed,busy,43
1,Partition phase 3,Partition,200,32,pending,busy,43
1,Pipes in the floor,Plumbing,0,69,completed,available,43
1,Pipes in the wall,Plumbing,0,37,completed,available,43
1,Wall tiling,Tiling,290,27,pending,busy,43
1,Electric conduits in the floor,Electricity,0,51,completed,available,44
1,Electric conduits in the wall,Electricity,0,41,completed,available,44
1,Floor tiling,Tiling,0,62,completed,busy,44
1,Gravel base layer,Gravel,0,34,completed,available,44
1,Partition phase 1,Partition,0,55,completed,busy,44
1,Partition phase 2,Partition,0,51,completed,busy,44
1,Floor tiling,Tiling,224,62,in_progress,busy,16
1,Pipes in the floor,Plumbing,0,69,completed,busy,44
1,Pipes in the wall,Plumbing,0,37,completed,busy,44
1,Wall tiling,Tiling,290,27,pending,busy,44
1,Electric conduits in the floor,Electricity,0,51,completed,available,45
1,Electric conduits in the wall,Electricity,0,41,completed,available,45
1,Floor tiling,Tiling,0,62,completed,busy,45
1,Gravel base layer,Gravel,0,34,completed,available,45
1,Partition phase 1,Partition,0,55,completed,busy,45
1,Partition phase 2,Partition,0,51,completed,busy,45
1,Pipes in the wall,Plumbing,153,37,in_progress,busy,16
1,Pipes in the floor,Plumbing,0,69,completed,busy,45
1,Pipes in the wall,Plumbing,0,37,completed,busy,45
1,Wall tiling,Tiling,290,27,pending,busy,45
1,Electric conduits in the floor,Electricity,0,51,completed,available,46
1,Electric conduits in the wall,Electricity,0,41,completed,available,46
1,Floor tiling,Tiling,0,62,completed,busy,46
1,Gravel base layer,Gravel,0,34,completed,available,46
1,Partition phase 1,Partition,0,55,completed,busy,46
1,Partition phase 2,Partition,0,51,completed,busy,46
2,Partition phase 1,Partition,695,55,in_progress,busy,16
1,Pipes in the floor,Plumbing,0,69,completed,busy,46
1,Pipes in the wall,Plumbing,0,37,completed,busy,46
1,Wall tiling,Tiling,290,27,pending,busy,46
1,Electric conduits in the floor,Electricity,0,51,completed,available,47
1,Electric conduits in the wall,Electricity,0,41,completed,available,47
1,Floor tiling,Tiling,0,62,completed,busy,47
1,Gravel base layer,Gravel,0,34,completed,available,47
1,Partition phase 1,Partition,0,55,completed,busy,47
1,Partition phase 2,Partition,0,51,completed,busy,47
3,Electric conduits in the floor,Electricity,80,51,in_progress,busy,16
1,Pipes in the floor,Plumbing,0,69,completed,busy,47
1,Pipes in the wall,Plumbing,0,37,completed,busy,47
1,Wall tiling,Tiling,290,27,pending,busy,47
1,Electric conduits in the floor,Electricity,0,51,completed,available,48
1,Electric conduits in the wall,Electricity,0,41,completed,available,48
1,Floor tiling,Tiling,0,62,completed,busy,48
1,Gravel base layer,Gravel,0,34,completed,available,48
1,Partition phase 1,Partition,0,55,completed,busy,48
1,Partition phase 2,Partition,0,51,completed,busy,48
4,Gravel base layer,Gravel,170,34,in_progress,busy,16
1,Pipes in the floor,Plumbing,0,69,completed,busy,48
1,Pipes in the wall,Plumbing,0,37,completed,busy,48
1,Wall tiling,Tiling,290,27,pending,busy,48
1,Electric conduits in the floor,Electricity,0,51,completed,available,49
1,Electric conduits in the wall,Electricity,0,41,completed,available,49
1,Floor tiling,Tiling,0,62,completed,busy,49
1,Gravel base layer,Gravel,0,34,completed,available,49
1,Partition phase 1,Partition,0,55,completed,busy,49
1,Partition phase 2,Partition,0,51,completed,busy,49
1,Floor tiling,Tiling,162,62,in_progress,busy,17
1,Pipes in the floor,Plumbing,0,69,completed,busy,49
1,Pipes in the wall,Plumbing,0,37,completed,busy,49
1,Wall tiling,Tiling,290,27,pending,busy,49
1,Electric conduits in the floor,Electricity,0,51,completed,available,50
1,Electric conduits in the wall,Electricity,0,41,completed,available,50
1,Floor tiling,Tiling,0,62,completed,busy,50
1,Gravel base layer,Gravel,0,34,completed,available,50
1,Partition phase 1,Partition,0,55,completed,busy,50
1,Partition phase 2,Partition,0,51,completed,busy,50
1,Pipes in the wall,Plumbing,116,37,in_progress,busy,17
1,Pipes in the floor,Plumbing,0,69,completed,available,50
